日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),ExitVelocity,PitchBallVelocity,LaunchAngle,ExitDirection,Spin,Distance,SpinDirection,SpinConfidence,StrikeZoneX,StrikeZoneY,Contact Depth,BatName,SerialNumber,Unique ID,Video Url,Session Name,Player Name,DateTime
2025年 2月 4日 火曜日 13:21:01,baseball bat,右,General Practice,42,46,33,78.5,3.5,57,2,113,97,-15,1.63,0.19,23.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:20:46,baseball bat,左,General Practice,72,80,62,95.0,14.3,89,1,92,88,-30,3.41,0.13,31.4,,,,137.8,79.9,16.8,2.7,1545.92883300781,86.9,00:10:00,1.0,-3.0,63.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:20:37,baseball bat,左,General Practice,59,45,51,92.1,10.4,76,6,112,100,-21,2.94,0.14,31.9,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:20:26,baseball bat,左,General Practice,67,65,63,92.1,14.9,84,8,100,93,-23,3.11,0.13,31.1,,,,93.4,79.9,38.1,33.2,1587.271484375,51.9,02:42:00,1.0,11.1,64.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:20:17,baseball bat,左,General Practice,65,61,65,96.7,15.6,82,6,101,93,-24,3.39,0.14,32.3,,,,125.3,79.9,16.2,-16.8,1148.46520996094,72.8,00:44:00,1.0,-14.6,51.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:20:07,baseball bat,左,General Practice,60,57,68,95.4,16.7,77,4,103,95,-25,3.39,0.13,33.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:19:57,baseball bat,左,General Practice,63,68,59,97.0,13.3,80,8,98,89,-24,3.41,0.14,31.9,,,,126.8,86.4,16.7,-19.3,1484.66918945313,71.7,01:06:00,1.0,11.6,78.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:19:48,baseball bat,左,General Practice,67,76,59,91.6,13.3,84,8,92,85,-20,3.08,0.13,29.8,,,,126.6,84.2,15.2,-20.7,1443.376953125,61.6,10:50:00,1.0,12.9,86.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:19:39,baseball bat,左,General Practice,67,68,61,90.1,14.1,84,4,98,90,-22,3.02,0.13,30.1,,,,133.6,84.2,15.9,-5.8,1654.92236328125,66.7,09:52:00,1.0,-9.2,74.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:19:20,baseball bat,左,General Practice,61,70,59,98.5,13.2,78,10,97,87,-25,3.31,0.14,30.4,,,,130.9,84.2,11.5,-23.5,1060.74609375,60.9,11:46:00,1.0,18.9,72.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:19:09,baseball bat,左,General Practice,68,80,60,94.6,13.9,85,4,92,87,-27,3.29,0.13,31.1,,,,125.3,81.6,11.5,-21.2,2389.12890625,59.9,11:24:00,1.0,24.7,93.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:18:41,baseball bat,左,General Practice,69,80,57,91.6,12.4,87,6,94,89,-25,3.03,0.14,29.3,,,,128.5,81.6,2.0,8.2,1477.90380859375,27.6,00:32:00,1.0,11.6,82.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:18:29,baseball bat,左,General Practice,71,80,63,92.1,15.0,88,4,92,87,-26,3.07,0.14,29.3,,,,122,81.6,-1.8,14.4,2935.033203125,13.2,06:40:00,1.0,38.4,94.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:18:00,baseball bat,左,General Practice,65,71,55,99.3,11.9,82,10,97,91,-31,3.32,0.15,31.5,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:17:50,baseball bat,左,General Practice,74,72,58,82.7,13.1,92,-5,88,84,-19,2.55,0.13,30.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:17:22,baseball bat,左,General Practice,60,59,54,90.4,11.4,76,9,103,89,-26,2.65,0.15,30.1,,,,120.5,84.2,26.5,-4.3,1099.97863769531,82.3,11:56:00,1.0,-16.1,35.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:17:14,baseball bat,左,General Practice,63,62,56,91.4,12.3,79,8,101,90,-29,2.75,0.15,29.6,,,,141.1,84.2,11.6,-12.7,2459.7744140625,54.6,09:36:00,1.0,9.3,64.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:17:04,baseball bat,左,General Practice,58,79,58,94.6,13.1,75,10,93,87,-38,2.94,0.15,30.7,,,,137.4,83.3,14.7,-2.3,2800.85717773438,67.1,02:30:00,1.0,2.6,49.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:16:55,baseball bat,左,General Practice,66,61,60,88.0,13.7,83,5,102,90,-29,2.61,0.15,30.3,,,,139.2,85.8,2.0,6.2,1502.88232421875,27.1,11:52:00,1.0,29.5,49.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:16:46,baseball bat,左,General Practice,58,67,58,94.3,13.1,75,14,98,88,-29,2.8,0.16,30.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:16:37,baseball bat,左,General Practice,62,60,57,93.3,12.5,79,6,102,86,-26,2.9,0.15,29.1,,,,135.4,85.8,8.7,-6.1,769.646423339844,44.5,09:08:00,1.0,17.2,58.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:16:27,baseball bat,左,General Practice,64,64,57,94.3,12.7,81,6,99,86,-31,3.08,0.14,29.9,,,,135.7,85.8,12.3,-17.1,3376.35205078125,73.2,01:52:00,1.0,8.2,67.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:16:09,baseball bat,左,General Practice,61,63,62,93.5,14.3,78,2,101,92,-39,2.98,0.14,30.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:15:52,baseball bat,左,General Practice,58,54,60,92.4,13.8,75,7,107,93,-30,2.84,0.15,30.7,,,,150.3,82.1,20.4,-4.2,2181.29150390625,102.6,01:04:00,1.0,19.1,68.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:15:43,baseball bat,左,General Practice,60,62,56,92.1,12.2,76,9,97,83,-26,2.78,0.15,29.9,,,,142.3,82.1,5.5,-8.7,1030.40368652344,45.5,11:10:00,1.0,21.6,70.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:15:24,baseball bat,左,General Practice,60,76,59,93.8,13.5,76,7,91,85,-38,2.93,0.15,30.6,,,,138.5,82.1,14.6,-19.7,3350.98193359375,81.1,11:16:00,1.0,13.1,75.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:15:15,baseball bat,左,General Practice,58,56,58,92.1,12.9,75,7,106,91,-26,2.81,0.15,29.3,,,,156.5,79.9,26.5,32.0,993.005554199219,114.1,11:30:00,1.0,33.7,40.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:15:05,baseball bat,左,General Practice,55,63,56,91.4,12.1,71,8,98,85,-24,2.7,0.15,29.1,,,,147.5,82.7,6.9,9.6,286.758209228516,49.6,11:10:00,1.0,9.5,72.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:14:55,baseball bat,左,General Practice,64,65,57,90.8,12.8,81,-2,98,86,-29,2.9,0.14,29.8,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,-279.3,315.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:14:38,baseball bat,左,General Practice,52,73,52,75.8,10.7,68,-7,86,85,-22,1.75,0.16,30.9,,,,145.8,82.1,9.1,-6.6,1170.35241699219,65.3,00:56:00,1.0,22.4,74.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:14:12,baseball bat,左,General Practice,73,70,59,79.5,13.4,90,-11,91,83,-21,2.36,0.13,32.7,,,,141.4,81.2,23.2,26.1,3050.54541015625,94.5,09:44:00,1.0,9.2,106.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:12:06,baseball bat,右,General Practice,48,49,46,90.0,8.5,64,6,111,94,-28,2.62,0.15,32.0,,,,137.1,83.1,18.6,0.1,1146.86901855469,88.1,11:48:00,1.0,17.4,77.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:11:56,baseball bat,右,General Practice,43,38,43,87.2,7.5,58,4,120,102,-29,2.37,0.16,32.2,,,,126.5,83.1,25.3,-3.6,2431.23095703125,85.6,11:14:00,1.0,4.6,54.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:11:45,baseball bat,右,General Practice,51,48,41,90.3,6.4,67,12,115,92,-24,2.47,0.16,31.5,,,,135.9,83.1,11.6,9.0,1108.47302246094,69.5,11:44:00,1.0,15.9,83.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:11:35,baseball bat,右,General Practice,61,57,45,94.0,8.2,78,-1,105,91,-38,2.82,0.15,31.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:11:25,baseball bat,右,General Practice,41,46,42,93.0,7.0,56,8,117,93,-22,2.73,0.16,32.8,,,,131.4,79.9,17.0,-3.3,9.99999974737875e-06,78.6,00:00:00,0.5,14.8,64.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:11:14,baseball bat,右,General Practice,45,45,46,96.4,8.3,60,8,115,96,-31,2.93,0.16,32.7,,,,130.9,79.9,28.3,6.0,3134.21728515625,87.3,10:22:00,1.0,17.4,62.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:11:02,baseball bat,右,General Practice,53,59,45,96.2,8.1,69,3,103,90,-38,2.92,0.16,32.0,,,,124.8,79.9,7.1,-14.2,9.99999974737875e-06,30.6,00:00:00,0.5,6.3,15.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:10:52,baseball bat,右,General Practice,48,47,44,94.3,7.6,63,8,113,95,-29,2.81,0.16,31.9,,,,145.5,133.5,12.7,0.1,1256.45935058594,78.3,11:26:00,1.0,3.1,54.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:10:41,baseball bat,右,General Practice,47,50,47,95.1,8.6,63,9,112,93,-30,2.86,0.16,31.1,,,,88.5,133.5,57.0,29.4,2284.63208007813,44.5,00:22:00,1.0,9.5,45.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:10:30,baseball bat,右,General Practice,58,56,46,95.6,8.3,74,-3,106,92,-40,3.0,0.15,30.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:10:20,baseball bat,右,General Practice,55,56,42,94.0,6.9,71,4,106,92,-35,2.72,0.16,30.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:10:10,baseball bat,右,General Practice,50,40,48,96.2,9.3,65,1,117,100,-36,3.17,0.14,32.0,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:10:00,baseball bat,右,General Practice,54,52,47,94.1,8.8,70,-1,108,94,-34,2.91,0.15,30.9,,,,137.2,82.1,16.7,5.5,1155.37731933594,79.3,10:20:00,1.0,-0.4,69.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:09:51,baseball bat,右,General Practice,37,46,42,90.6,6.7,52,9,114,95,-25,2.53,0.16,31.7,,,,107.9,82.1,33.0,8.9,2883.74267578125,73.5,11:14:00,1.0,22.5,19.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:09:41,baseball bat,右,General Practice,48,55,47,91.1,8.9,63,-3,104,95,-38,2.76,0.15,31.5,,,,145.9,82.1,17.3,-1.0,1869.18005371094,95.1,11:24:00,1.0,-0.8,58.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:09:31,baseball bat,右,General Practice,34,51,42,87.1,7.0,49,-10,100,76,-9,2.3,0.16,30.1,,,,129.3,82.1,6.2,5.4,445.594055175781,37.7,01:02:00,1.0,7.8,51.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:09:21,baseball bat,右,General Practice,44,59,44,88.8,7.7,59,-15,100,84,-18,2.49,0.16,33.0,,,,126.1,82.1,14.7,4.3,1194.96166992188,68.0,11:26:00,1.0,-12.1,61.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:09:12,baseball bat,右,General Practice,35,55,40,89.0,6.3,49,-11,105,85,-15,2.47,0.16,30.9,,,,141.8,79.9,10.5,-12.5,2454.13989257813,64.1,10:48:00,1.0,-10.6,71.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:08:35,baseball bat,右,General Practice,57,65,59,104.0,13.3,73,11,100,87,-30,4.1,0.13,30.9,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:08:24,baseball bat,右,General Practice,55,53,63,97.8,15.0,71,6,107,95,-23,3.69,0.13,29.1,,,,133.1,83.6,4.8,-6.3,3265.43969726563,36.3,10:08:00,1.0,-5.6,53.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:08:04,baseball bat,右,General Practice,61,72,77,106.9,20.1,77,6,96,91,-38,4.39,0.13,33.2,,,,138.2,80.9,29.8,-22.9,1729.5595703125,92.6,00:22:00,1.0,7.0,75.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:07:55,baseball bat,右,General Practice,52,75,63,100.6,15.0,68,13,93,85,-23,3.66,0.14,31.1,,,,100.6,85.2,24.4,11.1,2641.85205078125,63.4,11:50:00,1.0,-32.4,74.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:07:45,baseball bat,右,General Practice,52,68,59,100.9,13.2,68,15,97,86,-16,3.43,0.15,30.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,-224.2,-4.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:07:36,baseball bat,右,General Practice,47,58,50,99.1,10.1,62,12,104,91,-26,3.36,0.14,29.0,,,,134.2,79.3,10.5,-5.2,715.530883789063,51.2,09:38:00,1.0,5.9,51.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:07:16,baseball bat,右,General Practice,52,66,62,103.0,14.3,68,11,97,85,-20,3.95,0.13,30.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:07:06,baseball bat,右,General Practice,61,73,62,95.4,14.6,78,4,86,85,-38,3.2,0.14,29.8,,,,141.9,75.6,-2.2,2.8,1295.74975585938,9.8,05:30:00,1.0,11.3,76.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:06:56,baseball bat,右,General Practice,59,79,68,102.4,16.6,75,14,90,86,-25,3.74,0.14,31.2,,,,131.4,77.0,16.5,5.6,1055.99584960938,77.6,11:58:00,1.0,-4.3,68.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:06:46,baseball bat,右,General Practice,60,70,65,98.5,15.6,77,12,87,83,-33,3.36,0.14,30.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:06:37,baseball bat,右,General Practice,56,71,74,99.8,19.1,72,8,87,84,-33,3.83,0.13,31.9,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:06:27,baseball bat,右,General Practice,49,52,47,93.8,8.8,65,15,110,93,-20,2.74,0.16,28.2,,,,115.1,73.4,23.2,-23.0,720.708374023438,70.1,11:54:00,1.0,5.4,69.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:06:17,baseball bat,右,General Practice,63,80,72,106.2,18.1,80,8,90,88,-46,4.08,0.14,32.7,,,,53.4,80.9,-1.5,-6.2,1561.98217773438,11.2,07:22:00,1.0,6.7,171.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:06:08,baseball bat,右,General Practice,57,68,60,95.6,13.6,73,13,87,83,-35,3.25,0.14,30.6,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,-54.2,127.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:05:56,baseball bat,右,General Practice,52,66,68,95.4,16.8,68,10,81,90,-36,3.16,0.14,30.6,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:05:47,baseball bat,右,General Practice,61,56,55,93.3,11.9,78,5,90,74,-21,3.06,0.14,27.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:05:05,baseball bat,左,General Practice,59,61,56,96.7,12.4,76,6,102,87,-22,3.38,0.14,31.7,,,,139.6,130.3,-2.1,-23.5,2178.54077148438,15.7,03:48:00,1.0,-12.6,99.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:04:56,baseball bat,左,General Practice,60,53,53,97.7,11.1,77,2,107,95,-30,3.61,0.13,33.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:04:45,baseball bat,左,General Practice,58,59,51,93.2,10.3,74,8,103,87,-20,3.05,0.14,30.9,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:04:35,baseball bat,左,General Practice,61,55,55,96.6,11.8,78,3,107,93,-28,3.48,0.13,32.7,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:04:15,baseball bat,左,General Practice,63,65,54,80.8,11.6,80,5,92,80,-19,2.29,0.14,27.7,,,,129.4,79.9,22.2,-7.6,2166.0107421875,85.1,11:18:00,1.0,-11.1,52.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:04:06,baseball bat,左,General Practice,62,57,53,94.3,11.1,78,7,106,90,-22,3.22,0.14,32.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:03:57,baseball bat,左,General Practice,49,52,51,99.6,10.2,65,14,110,89,-19,3.3,0.15,31.9,,,,128.4,79.0,24.1,-24.0,662.319213867188,84.9,00:58:00,1.0,88.3,119.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:03:47,baseball bat,左,General Practice,68,71,63,95.4,14.9,85,-6,91,83,-35,3.5,0.13,33.3,,,,140.6,77.0,11.9,-25.8,9.99999974737875e-06,52.1,00:00:00,0.5,8.5,128.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:03:38,baseball bat,左,General Practice,63,72,58,101.4,13.1,80,5,96,88,-36,3.77,0.13,34.0,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:03:29,baseball bat,左,General Practice,58,62,59,95.6,13.2,74,8,101,91,-22,3.31,0.14,33.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:03:19,baseball bat,左,General Practice,66,80,56,89.3,12.3,83,1,94,88,-26,2.97,0.13,31.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:03:00,baseball bat,左,General Practice,57,53,47,96.1,8.8,73,8,109,92,-21,3.2,0.14,33.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:02:51,baseball bat,左,General Practice,53,61,54,102.2,11.5,69,5,102,93,-35,3.78,0.14,35.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:02:43,baseball bat,左,General Practice,62,64,61,97.7,14.0,79,2,100,91,-29,3.56,0.13,34.4,,,,131.5,77.8,25.3,30.3,522.615844726563,77.0,02:38:00,1.0,0.5,95.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:02:32,baseball bat,左,General Practice,57,63,62,99.5,14.4,73,7,101,90,-28,3.58,0.14,34.3,,,,128.6,77.8,24.1,20.2,951.905639648438,86.8,11:10:00,1.0,26.7,71.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:02:22,baseball bat,左,General Practice,73,54,50,76.4,9.8,90,-13,83,76,-18,2.08,0.14,31.2,,,,171.9,78.7,12.2,40.6,9.99999974737875e-06,62.6,00:00:00,0.5,-28.2,71.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:02:13,baseball bat,左,General Practice,71,56,52,77.4,10.8,89,-15,84,78,-21,2.11,0.14,31.5,,,,118,79.9,18.8,-9.0,907.285583496094,66.6,00:44:00,1.0,-7.8,50.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:02:04,baseball bat,左,General Practice,69,69,45,69.4,7.9,87,-4,90,82,-5,1.62,0.15,26.4,,,,129.1,79.9,23.1,-28.7,1157.90087890625,77.4,00:52:00,1.0,13.6,63.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:01:37,baseball bat,右,General Practice,51,71,78,94.6,20.6,67,9,96,93,-28,3.34,0.13,32.5,,,,109.4,78.2,39.4,-10.1,2373.22485351563,73.4,01:14:00,1.0,-0.9,41.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:01:20,baseball bat,右,General Practice,53,63,80,92.4,23.5,69,8,100,93,-34,3.18,0.13,33.6,,,,126.6,78.2,11.5,24.9,619.026062011719,53.0,10:06:00,1.0,33.4,83.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:01:11,baseball bat,右,General Practice,51,64,80,90.6,23.5,67,4,99,94,-28,3.26,0.12,33.8,,,,134.9,77.8,0.4,-4.7,9.99999974737875e-06,16.4,00:00:00,0.5,16.2,88.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:01:02,baseball bat,右,General Practice,54,76,68,93.5,16.8,71,4,95,91,-35,3.26,0.13,32.0,,,,106,77.8,28.6,-8.7,890.654418945313,64.7,10:32:00,1.0,16.6,74.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:00:53,baseball bat,右,General Practice,57,57,80,83.4,24.3,73,1,101,97,-31,2.85,0.12,33.8,,,,125.4,77.8,28.7,9.8,2046.85595703125,88.8,00:30:00,1.0,19.5,65.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:00:45,baseball bat,右,General Practice,55,76,80,90.1,21.5,71,5,95,90,-35,3.18,0.13,32.7,,,,118.8,77.8,25.0,23.9,2083.29541015625,71.7,11:16:00,1.0,31.8,47.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
